Actor,File Name,Emotion,Confidence Score,surprised_probability,angry_probability,fearful_probability,sad_probability,happy_probability,neutral_probability,calm_probability,disgust_probability
Actor_01,03-01-01-01-01-01-01.wav,surprised,0.14,0.14,0.1349,0.13,0.1229,0.1224,0.1177,0.1171,0.1151
Actor_01,03-01-01-01-01-02-01.wav,surprised,0.1387,0.1387,0.1328,0.1294,0.1227,0.1222,0.1259,0.1154,0.1129
Actor_01,03-01-01-01-02-01-01.wav,angry,0.1348,0.1345,0.1348,0.1265,0.1209,0.1195,0.1342,0.1137,0.1161
Actor_01,03-01-01-01-02-02-01.wav,angry,0.1352,0.1347,0.1352,0.1268,0.1205,0.1192,0.1343,0.1135,0.1159
Actor_01,03-01-02-01-01-01-01.wav,neutral,0.1445,0.127,0.1349,0.1195,0.1204,0.1166,0.1445,0.1138,0.1234
Actor_01,03-01-02-01-01-02-01.wav,neutral,0.1492,0.123,0.135,0.1153,0.1199,0.1138,0.1492,0.1155,0.1284
Actor_01,03-01-02-01-02-01-01.wav,neutral,0.1485,0.1234,0.1352,0.1151,0.1203,0.114,0.1485,0.1151,0.1285
Actor_01,03-01-02-01-02-02-01.wav,neutral,0.1486,0.1236,0.1356,0.1153,0.1203,0.1138,0.1486,0.1148,0.1282
Actor_01,03-01-02-02-01-01-01.wav,neutral,0.1494,0.1229,0.1346,0.1139,0.1207,0.1132,0.1494,0.1157,0.1296
Actor_01,03-01-02-02-01-02-01.wav,neutral,0.1502,0.1223,0.1345,0.1141,0.1204,0.1132,0.1502,0.1157,0.1295
Actor_01,03-01-02-02-02-01-01.wav,neutral,0.1502,0.1218,0.1344,0.1132,0.12,0.1143,0.1502,0.1162,0.1298
Actor_01,03-01-02-02-02-02-01.wav,neutral,0.1501,0.1227,0.1337,0.1137,0.1207,0.1133,0.1501,0.116,0.1298
Actor_01,03-01-03-01-01-01-01.wav,angry,0.1392,0.1294,0.1392,0.1263,0.1206,0.1183,0.1193,0.1202,0.1268
Actor_01,03-01-03-01-01-02-01.wav,angry,0.1395,0.1296,0.1395,0.1252,0.1206,0.1183,0.1193,0.1202,0.1273
Actor_01,03-01-03-01-02-01-01.wav,angry,0.14,0.1311,0.14,0.125,0.1203,0.1178,0.1193,0.1197,0.1267
Actor_01,03-01-03-01-02-02-01.wav,angry,0.139,0.1326,0.139,0.1247,0.1196,0.12,0.1186,0.1204,0.125
Actor_01,03-01-03-02-01-01-01.wav,angry,0.1371,0.1302,0.1371,0.1302,0.1267,0.1141,0.1164,0.1171,0.1281
Actor_01,03-01-03-02-01-02-01.wav,angry,0.1391,0.1308,0.1391,0.1281,0.1203,0.1187,0.1179,0.1205,0.1247
Actor_01,03-01-03-02-02-01-01.wav,angry,0.1387,0.127,0.1387,0.1263,0.119,0.1207,0.1158,0.124,0.1286
Actor_01,03-01-03-02-02-02-01.wav,angry,0.1397,0.1269,0.1397,0.1275,0.1175,0.1208,0.1156,0.1242,0.1276
Actor_01,03-01-04-01-01-01-01.wav,neutral,0.1443,0.1228,0.1306,0.1201,0.1181,0.1208,0.1443,0.1178,0.1255
Actor_01,03-01-04-01-01-02-01.wav,calm,0.1401,0.1125,0.118,0.1099,0.1227,0.1374,0.1204,0.1401,0.139
Actor_01,03-01-04-01-02-01-01.wav,neutral,0.1375,0.1326,0.135,0.124,0.1203,0.1184,0.1375,0.1144,0.1179
Actor_01,03-01-04-01-02-02-01.wav,angry,0.1351,0.1263,0.1351,0.1174,0.1213,0.1275,0.1252,0.1188,0.1284
Actor_01,03-01-04-02-01-01-01.wav,angry,0.1306,0.1288,0.1306,0.1207,0.1234,0.127,0.1269,0.1212,0.1214
Actor_01,03-01-04-02-01-02-01.wav,happy,0.1344,0.1234,0.1215,0.118,0.1242,0.1344,0.1281,0.1264,0.1239
Actor_01,03-01-04-02-02-01-01.wav,disgust,0.1368,0.1164,0.1284,0.1198,0.1183,0.133,0.1157,0.1316,0.1368
Actor_01,03-01-04-02-02-02-01.wav,angry,0.1354,0.1311,0.1354,0.1211,0.1226,0.1254,0.1241,0.1194,0.1209
Actor_01,03-01-05-01-01-01-01.wav,fearful,0.1359,0.1218,0.1276,0.1359,0.1188,0.1275,0.1124,0.1317,0.1243
