Actor,File Name,Emotion,Confidence Score
Actor_01,03-01-01-01-02-01-01.wav,surprised,0.1354
Actor_01,03-01-08-01-02-01-01.wav,disgust,0.1339
Actor_01,03-01-06-02-01-02-01.wav,surprised,0.1365
Actor_01,03-01-08-02-02-02-01.wav,disgust,0.1349
Actor_01,03-01-03-01-01-02-01.wav,neutral,0.1340
Actor_01,03-01-04-02-01-01-01.wav,surprised,0.1389
Actor_01,03-01-05-01-02-01-01.wav,neutral,0.1365
Actor_01,03-01-03-01-01-01-01.wav,neutral,0.1346
Actor_01,03-01-03-01-02-01-01.wav,neutral,0.1341
Actor_01,03-01-04-01-02-01-01.wav,surprised,0.1350
Actor_01,03-01-06-01-02-01-01.wav,surprised,0.1333
Actor_01,03-01-06-02-02-01-01.wav,surprised,0.1383
Actor_01,03-01-07-01-01-02-01.wav,sad,0.1281
Actor_01,03-01-05-02-01-02-01.wav,neutral,0.1337
Actor_01,03-01-06-01-01-01-01.wav,surprised,0.1379
Actor_01,03-01-07-02-02-01-01.wav,fearful,0.1280
Actor_01,03-01-01-01-02-02-01.wav,surprised,0.1345
Actor_01,03-01-06-01-02-02-01.wav,surprised,0.1382
Actor_01,03-01-04-02-02-02-01.wav,surprised,0.1372
Actor_01,03-01-02-02-02-02-01.wav,surprised,0.1371
Actor_01,03-01-08-01-02-02-01.wav,disgust,0.1354
Actor_01,03-01-05-02-02-01-01.wav,neutral,0.1342
Actor_01,03-01-02-02-01-02-01.wav,surprised,0.1372
Actor_01,03-01-08-01-01-02-01.wav,disgust,0.1343
Actor_01,03-01-02-01-02-02-01.wav,surprised,0.1385
Actor_01,03-01-01-01-01-01-01.wav,disgust,0.1314
Actor_01,03-01-03-02-02-01-01.wav,neutral,0.1355
Actor_01,03-01-03-02-01-02-01.wav,neutral,0.1339
Actor_01,03-01-05-01-02-02-01.wav,neutral,0.1360
Actor_01,03-01-06-02-01-01-01.wav,surprised,0.1377
Actor_01,03-01-02-01-01-02-01.wav,surprised,0.1379
Actor_01,03-01-05-02-01-01-01.wav,neutral,0.1362
Actor_01,03-01-07-02-02-02-01.wav,disgust,0.1317
Actor_01,03-01-08-02-01-01-01.wav,disgust,0.1360
Actor_01,03-01-04-01-01-01-01.wav,neutral,0.1314
Actor_01,03-01-08-01-01-01-01.wav,disgust,0.1353
Actor_01,03-01-07-01-02-01-01.wav,neutral,0.1278
Actor_01,03-01-02-02-02-01-01.wav,surprised,0.1372
Actor_01,03-01-06-02-02-02-01.wav,surprised,0.1376
Actor_01,03-01-01-01-01-02-01.wav,surprised,0.1320
Actor_01,03-01-07-02-01-01-01.wav,fearful,0.1291
Actor_01,03-01-04-01-02-02-01.wav,neutral,0.1327
Actor_01,03-01-05-01-01-01-01.wav,neutral,0.1332
Actor_01,03-01-08-02-02-01-01.wav,disgust,0.1324
Actor_01,03-01-07-01-01-01-01.wav,calm,0.1286
Actor_01,03-01-03-02-01-01-01.wav,disgust,0.1346
Actor_01,03-01-04-01-01-02-01.wav,neutral,0.1337
Actor_01,03-01-04-02-02-01-01.wav,neutral,0.1370
Actor_01,03-01-03-01-02-02-01.wav,neutral,0.1343
Actor_01,03-01-07-02-01-02-01.wav,disgust,0.1293
Actor_01,03-01-04-02-01-02-01.wav,neutral,0.1351
Actor_01,03-01-02-01-02-01-01.wav,surprised,0.1380
Actor_01,03-01-03-02-02-02-01.wav,neutral,0.1368
Actor_01,03-01-07-01-02-02-01.wav,calm,0.1282
Actor_01,03-01-02-01-01-01-01.wav,surprised,0.1385
Actor_01,03-01-05-02-02-02-01.wav,neutral,0.1366
Actor_01,03-01-08-02-01-02-01.wav,disgust,0.1372
Actor_01,03-01-02-02-01-01-01.wav,surprised,0.1373
Actor_01,03-01-06-01-01-02-01.wav,neutral,0.1339
Actor_01,03-01-05-01-01-02-01.wav,neutral,0.1336
Actor_02,03-01-01-01-02-01-02.wav,disgust,0.1317
Actor_02,03-01-02-02-02-01-02.wav,surprised,0.1374
Actor_02,03-01-07-01-01-02-02.wav,calm,0.1291
Actor_02,03-01-03-02-02-01-02.wav,neutral,0.1323
Actor_02,03-01-02-01-02-02-02.wav,surprised,0.1381
Actor_02,03-01-08-02-01-02-02.wav,disgust,0.1347
Actor_02,03-01-04-02-01-01-02.wav,neutral,0.1336
Actor_02,03-01-08-01-02-02-02.wav,disgust,0.1341
Actor_02,03-01-02-01-02-01-02.wav,surprised,0.1386
Actor_02,03-01-04-01-02-02-02.wav,surprised,0.1354
Actor_02,03-01-02-02-02-02-02.wav,surprised,0.1368
Actor_02,03-01-08-01-01-01-02.wav,disgust,0.1341
Actor_02,03-01-08-02-02-02-02.wav,disgust,0.1349
Actor_02,03-01-05-02-02-02-02.wav,neutral,0.1322
Actor_02,03-01-05-01-02-02-02.wav,neutral,0.1316
Actor_02,03-01-03-01-01-02-02.wav,disgust,0.1309
Actor_02,03-01-06-02-02-02-02.wav,surprised,0.1397
Actor_02,03-01-03-01-02-02-02.wav,neutral,0.1315
Actor_02,03-01-05-02-01-02-02.wav,neutral,0.1324
Actor_02,03-01-06-02-01-02-02.wav,surprised,0.1398
Actor_02,03-01-07-02-02-02-02.wav,calm,0.1296
Actor_02,03-01-03-02-01-01-02.wav,neutral,0.1355
Actor_02,03-01-08-02-02-01-02.wav,disgust,0.1347
Actor_02,03-01-05-02-01-01-02.wav,neutral,0.1325
Actor_02,03-01-06-01-02-01-02.wav,surprised,0.1395
Actor_02,03-01-06-01-01-02-02.wav,surprised,0.1380
Actor_02,03-01-04-01-01-02-02.wav,neutral,0.1367
Actor_02,03-01-08-01-01-02-02.wav,disgust,0.1345
Actor_02,03-01-05-01-01-01-02.wav,neutral,0.1326
Actor_02,03-01-05-01-02-01-02.wav,neutral,0.1338
Actor_02,03-01-03-01-01-01-02.wav,neutral,0.1333
Actor_02,03-01-02-01-01-01-02.wav,surprised,0.1385
Actor_02,03-01-04-02-02-01-02.wav,neutral,0.1337
Actor_02,03-01-04-02-02-02-02.wav,neutral,0.1337
Actor_02,03-01-07-01-02-01-02.wav,neutral,0.1298
Actor_02,03-01-07-02-01-01-02.wav,calm,0.1300
Actor_02,03-01-01-01-02-02-02.wav,disgust,0.1323
Actor_02,03-01-06-02-02-01-02.wav,surprised,0.1394
Actor_02,03-01-06-02-01-01-02.wav,surprised,0.1396
Actor_02,03-01-05-02-02-01-02.wav,neutral,0.1322
Actor_02,03-01-03-02-01-02-02.wav,neutral,0.1348
Actor_02,03-01-08-01-02-01-02.wav,disgust,0.1344
Actor_02,03-01-08-02-01-01-02.wav,disgust,0.1348
Actor_02,03-01-06-01-02-02-02.wav,surprised,0.1399
Actor_02,03-01-04-02-01-02-02.wav,neutral,0.1351
Actor_02,03-01-07-02-02-01-02.wav,calm,0.1291
Actor_02,03-01-04-01-01-01-02.wav,neutral,0.1345
Actor_02,03-01-07-02-01-02-02.wav,calm,0.1283
Actor_02,03-01-07-01-01-01-02.wav,calm,0.1287
Actor_02,03-01-03-02-02-02-02.wav,neutral,0.1325
Actor_02,03-01-07-01-02-02-02.wav,neutral,0.1307
Actor_02,03-01-06-01-01-01-02.wav,surprised,0.1394
Actor_02,03-01-02-01-01-02-02.wav,surprised,0.1382
Actor_02,03-01-01-01-01-01-02.wav,disgust,0.1324
Actor_02,03-01-02-02-01-01-02.wav,surprised,0.1371
Actor_02,03-01-01-01-01-02-02.wav,disgust,0.1330
Actor_02,03-01-04-01-02-01-02.wav,surprised,0.1352
Actor_02,03-01-05-01-01-02-02.wav,neutral,0.1330
Actor_02,03-01-02-02-01-02-02.wav,surprised,0.1368
Actor_02,03-01-03-01-02-01-02.wav,disgust,0.1300
Actor_04,03-01-02-01-01-02-04.wav,fearful,0.1338
Actor_04,03-01-01-01-01-01-04.wav,disgust,0.1317
Actor_04,03-01-04-01-01-02-04.wav,neutral,0.1371
Actor_04,03-01-08-02-02-02-04.wav,disgust,0.1348
Actor_04,03-01-02-01-02-01-04.wav,fearful,0.1312
Actor_04,03-01-07-01-02-02-04.wav,sad,0.1300
Actor_04,03-01-03-02-02-01-04.wav,neutral,0.1376
Actor_04,03-01-06-02-01-02-04.wav,surprised,0.1351
Actor_04,03-01-04-01-02-01-04.wav,neutral,0.1363
Actor_04,03-01-05-01-01-01-04.wav,neutral,0.1315
Actor_04,03-01-08-02-01-01-04.wav,disgust,0.1345
Actor_04,03-01-08-01-01-01-04.wav,fearful,0.1344
Actor_04,03-01-07-02-01-01-04.wav,fearful,0.1287
Actor_04,03-01-03-01-02-02-04.wav,disgust,0.1327
Actor_04,03-01-07-01-02-01-04.wav,calm,0.1278
Actor_04,03-01-03-01-01-02-04.wav,disgust,0.1327
Actor_04,03-01-05-01-02-01-04.wav,neutral,0.1360
Actor_04,03-01-02-01-01-01-04.wav,fearful,0.1301
Actor_04,03-01-05-01-01-02-04.wav,neutral,0.1322
Actor_04,03-01-04-01-01-01-04.wav,neutral,0.1365
Actor_04,03-01-07-01-01-02-04.wav,neutral,0.1282
Actor_04,03-01-02-02-02-02-04.wav,surprised,0.1320
Actor_04,03-01-08-02-01-02-04.wav,disgust,0.1355
Actor_04,03-01-01-01-01-02-04.wav,disgust,0.1313
Actor_04,03-01-08-01-02-01-04.wav,disgust,0.1361
Actor_04,03-01-03-01-02-01-04.wav,neutral,0.1348
Actor_04,03-01-05-02-01-01-04.wav,neutral,0.1320
Actor_04,03-01-08-02-02-01-04.wav,disgust,0.1343
Actor_04,03-01-08-01-02-02-04.wav,disgust,0.1344
Actor_04,03-01-07-02-02-02-04.wav,neutral,0.1279
Actor_04,03-01-07-02-01-02-04.wav,fearful,0.1283
Actor_04,03-01-05-01-02-02-04.wav,neutral,0.1332
Actor_04,03-01-07-02-02-01-04.wav,sad,0.1282
Actor_04,03-01-04-02-02-02-04.wav,surprised,0.1359
Actor_04,03-01-05-02-02-02-04.wav,neutral,0.1312
Actor_04,03-01-05-02-02-01-04.wav,neutral,0.1361
Actor_04,03-01-04-02-01-01-04.wav,neutral,0.1374
Actor_04,03-01-05-02-01-02-04.wav,neutral,0.1329
Actor_04,03-01-07-01-01-01-04.wav,neutral,0.1282
Actor_04,03-01-06-01-02-01-04.wav,surprised,0.1369
Actor_04,03-01-04-01-02-02-04.wav,neutral,0.1357
Actor_04,03-01-03-02-01-01-04.wav,neutral,0.1328
Actor_04,03-01-06-02-02-01-04.wav,neutral,0.1305
Actor_04,03-01-02-02-01-01-04.wav,surprised,0.1357
Actor_04,03-01-04-02-02-01-04.wav,neutral,0.1357
Actor_04,03-01-06-01-01-01-04.wav,surprised,0.1361
Actor_04,03-01-06-01-02-02-04.wav,surprised,0.1353
Actor_04,03-01-03-02-01-02-04.wav,neutral,0.1352
Actor_04,03-01-02-01-02-02-04.wav,surprised,0.1336
Actor_04,03-01-04-02-01-02-04.wav,neutral,0.1370
Actor_04,03-01-03-01-01-01-04.wav,neutral,0.1341
Actor_04,03-01-02-02-02-01-04.wav,surprised,0.1342
Actor_04,03-01-08-01-01-02-04.wav,disgust,0.1356
Actor_04,03-01-01-01-02-02-04.wav,disgust,0.1320
Actor_04,03-01-01-01-02-01-04.wav,disgust,0.1314
Actor_04,03-01-06-02-02-02-04.wav,happy,0.1343
Actor_04,03-01-03-02-02-02-04.wav,neutral,0.1349
Actor_04,03-01-02-02-01-02-04.wav,surprised,0.1345
Actor_04,03-01-06-01-01-02-04.wav,surprised,0.1343
Actor_04,03-01-06-02-01-01-04.wav,surprised,0.1379
