Actor,File Name,Emotion,Confidence Score,neu_probability,hap_probability,ang_probability,sad_probability
Actor_01,03-01-01-01-01-01-01.wav,neu,0.5941,0.5941,0.362,0.0305,0.0134
Actor_01,03-01-01-01-01-02-01.wav,neu,0.5336,0.5336,0.4155,0.0457,0.0052
Actor_01,03-01-01-01-02-01-01.wav,neu,0.9212,0.9212,0.0324,0.0447,0.0017
Actor_01,03-01-01-01-02-02-01.wav,neu,0.478,0.478,0.4421,0.0772,0.0027
Actor_01,03-01-02-01-01-01-01.wav,neu,0.4571,0.4571,0.4302,0.0615,0.0513
Actor_01,03-01-02-01-01-02-01.wav,neu,0.558,0.558,0.4025,0.0346,0.0049
Actor_01,03-01-02-01-02-01-01.wav,neu,0.9331,0.9331,0.0485,0.0152,0.0033
Actor_01,03-01-02-01-02-02-01.wav,neu,0.8037,0.8037,0.1724,0.0211,0.0027
Actor_01,03-01-02-02-01-01-01.wav,neu,0.5511,0.5511,0.4322,0.0033,0.0133
Actor_01,03-01-02-02-01-02-01.wav,neu,0.6224,0.6224,0.3226,0.0107,0.0444
Actor_01,03-01-02-02-02-01-01.wav,neu,0.8216,0.8216,0.1242,0.0352,0.019
Actor_01,03-01-02-02-02-02-01.wav,neu,0.7077,0.7077,0.2726,0.012,0.0077
Actor_01,03-01-03-01-01-01-01.wav,neu,0.6919,0.6919,0.2438,0.062,0.0023
Actor_01,03-01-03-01-01-02-01.wav,neu,0.5735,0.5735,0.2649,0.1602,0.0014
Actor_01,03-01-03-01-02-01-01.wav,neu,0.9226,0.9226,0.0531,0.0227,0.0016
Actor_01,03-01-03-01-02-02-01.wav,neu,0.4813,0.4813,0.4295,0.0849,0.0042
Actor_01,03-01-03-02-01-01-01.wav,ang,0.7782,0.0298,0.1896,0.7782,0.0024
Actor_01,03-01-03-02-01-02-01.wav,hap,0.6527,0.1886,0.6527,0.1546,0.004
Actor_01,03-01-03-02-02-01-01.wav,ang,0.6832,0.0395,0.2766,0.6832,0.0007
Actor_01,03-01-03-02-02-02-01.wav,ang,0.6415,0.1716,0.1793,0.6415,0.0076
Actor_01,03-01-04-01-01-01-01.wav,neu,0.9205,0.9205,0.0759,0.0033,0.0003
Actor_01,03-01-04-01-01-02-01.wav,neu,0.83,0.83,0.1043,0.0151,0.0506
Actor_01,03-01-04-01-02-01-01.wav,neu,0.997,0.997,0.0017,0.0013,0.0
Actor_01,03-01-04-01-02-02-01.wav,neu,0.9331,0.9331,0.0616,0.0049,0.0004
Actor_01,03-01-04-02-01-01-01.wav,neu,0.9122,0.9122,0.084,0.0026,0.0012
Actor_01,03-01-04-02-01-02-01.wav,neu,0.879,0.879,0.0944,0.0173,0.0093
Actor_01,03-01-04-02-02-01-01.wav,neu,0.9861,0.9861,0.0067,0.0071,0.0001
Actor_01,03-01-04-02-02-02-01.wav,neu,0.9361,0.9361,0.0546,0.0075,0.0018
Actor_01,03-01-05-01-01-01-01.wav,ang,0.9341,0.0173,0.0481,0.9341,0.0005
Actor_01,03-01-05-01-01-02-01.wav,ang,0.839,0.0095,0.1514,0.839,0.0001
Actor_01,03-01-05-01-02-01-01.wav,ang,0.567,0.1587,0.2737,0.567,0.0005
Actor_01,03-01-05-01-02-02-01.wav,ang,0.8935,0.0537,0.0527,0.8935,0.0
Actor_01,03-01-05-02-01-01-01.wav,ang,0.9595,0.002,0.0373,0.9595,0.0011
Actor_01,03-01-05-02-01-02-01.wav,ang,0.9766,0.0007,0.0184,0.9766,0.0043
Actor_01,03-01-05-02-02-01-01.wav,ang,0.9985,0.0,0.0014,0.9985,0.0
Actor_01,03-01-05-02-02-02-01.wav,ang,0.9969,0.0001,0.0023,0.9969,0.0008
Actor_01,03-01-06-01-01-01-01.wav,neu,0.5162,0.5162,0.2145,0.2362,0.0332
Actor_01,03-01-06-01-01-02-01.wav,hap,0.4397,0.3538,0.4397,0.205,0.0015
Actor_01,03-01-06-01-02-01-01.wav,neu,0.4948,0.4948,0.2073,0.2955,0.0024
Actor_01,03-01-06-01-02-02-01.wav,neu,0.6269,0.6269,0.2342,0.1336,0.0052
Actor_01,03-01-06-02-01-01-01.wav,hap,0.8117,0.0005,0.8117,0.0957,0.0921
Actor_01,03-01-06-02-01-02-01.wav,hap,0.7846,0.0012,0.7846,0.1214,0.0929
Actor_01,03-01-06-02-02-01-01.wav,ang,0.9639,0.0006,0.0216,0.9639,0.0139
Actor_01,03-01-06-02-02-02-01.wav,ang,0.9034,0.0012,0.0876,0.9034,0.0078
Actor_01,03-01-07-01-01-01-01.wav,hap,0.712,0.0689,0.712,0.0739,0.1451
Actor_01,03-01-07-01-01-02-01.wav,hap,0.5016,0.0375,0.5016,0.3736,0.0873
Actor_01,03-01-07-01-02-01-01.wav,hap,0.4759,0.4451,0.4759,0.0175,0.0614
Actor_01,03-01-07-01-02-02-01.wav,neu,0.4618,0.4618,0.304,0.2264,0.0079
Actor_01,03-01-07-02-01-01-01.wav,ang,0.9492,0.0017,0.0404,0.9492,0.0088
Actor_01,03-01-07-02-01-02-01.wav,hap,0.5798,0.0013,0.5798,0.4051,0.0138
Actor_01,03-01-07-02-02-01-01.wav,ang,0.8401,0.029,0.0979,0.8401,0.033
Actor_01,03-01-07-02-02-02-01.wav,ang,0.6113,0.0462,0.338,0.6113,0.0045
Actor_01,03-01-08-01-01-01-01.wav,neu,0.8423,0.8423,0.1246,0.0328,0.0002
Actor_01,03-01-08-01-01-02-01.wav,neu,0.9926,0.9926,0.0068,0.0006,0.0
Actor_01,03-01-08-01-02-01-01.wav,neu,0.9263,0.9263,0.0587,0.0148,0.0002
Actor_01,03-01-08-01-02-02-01.wav,neu,0.9752,0.9752,0.0022,0.0226,0.0
Actor_01,03-01-08-02-01-01-01.wav,neu,0.816,0.816,0.0941,0.0899,0.0
Actor_01,03-01-08-02-01-02-01.wav,neu,0.5609,0.5609,0.048,0.391,0.0
Actor_01,03-01-08-02-02-01-01.wav,neu,0.9525,0.9525,0.0063,0.0412,0.0
Actor_01,03-01-08-02-02-02-01.wav,neu,0.5574,0.5574,0.0036,0.439,0.0
Actor_02,03-01-01-01-01-01-02.wav,neu,0.936,0.936,0.0026,0.0613,0.0
Actor_02,03-01-01-01-01-02-02.wav,neu,0.8997,0.8997,0.0355,0.0648,0.0001
Actor_02,03-01-01-01-02-01-02.wav,neu,0.5547,0.5547,0.0072,0.4381,0.0
Actor_02,03-01-01-01-02-02-02.wav,neu,0.5104,0.5104,0.0208,0.4687,0.0
Actor_02,03-01-02-01-01-01-02.wav,neu,0.5992,0.5992,0.0683,0.3304,0.0021
Actor_02,03-01-02-01-01-02-02.wav,neu,0.9363,0.9363,0.0062,0.0575,0.0
Actor_02,03-01-02-01-02-01-02.wav,neu,0.953,0.953,0.0041,0.043,0.0
Actor_02,03-01-02-01-02-02-02.wav,neu,0.7797,0.7797,0.0169,0.2034,0.0
Actor_02,03-01-02-02-01-01-02.wav,neu,0.6974,0.6974,0.0982,0.2025,0.002
Actor_02,03-01-02-02-01-02-02.wav,neu,0.8447,0.8447,0.0545,0.1001,0.0006
Actor_02,03-01-02-02-02-01-02.wav,neu,0.6131,0.6131,0.1392,0.247,0.0006
Actor_02,03-01-02-02-02-02-02.wav,neu,0.691,0.691,0.0381,0.2708,0.0001
Actor_02,03-01-03-01-01-01-02.wav,ang,0.764,0.1006,0.135,0.764,0.0004
Actor_02,03-01-03-01-01-02-02.wav,neu,0.469,0.469,0.4441,0.0864,0.0006
Actor_02,03-01-03-01-02-01-02.wav,neu,0.8286,0.8286,0.0215,0.1499,0.0
Actor_02,03-01-03-01-02-02-02.wav,neu,0.4992,0.4992,0.0452,0.4553,0.0002
Actor_02,03-01-03-02-01-01-02.wav,ang,0.8671,0.1034,0.0288,0.8671,0.0007
