Actor,File Name,True Emotion,Predicted Emotion,Confidence Score
Actor_01,03-01-01-01-02-01-01.wav,neutral,disgust,0.13827122747898102
Actor_01,03-01-08-01-02-01-01.wav,surprise,happy,0.13592679798603058
Actor_01,03-01-06-02-01-02-01.wav,fear,fearful,0.1397123783826828
Actor_01,03-01-08-02-02-02-01.wav,surprise,neutral,0.13706199824810028
Actor_01,03-01-03-01-01-02-01.wav,happy,sad,0.1329294741153717
Actor_01,03-01-04-02-01-01-01.wav,sad,fearful,0.13832619786262512
Actor_01,03-01-05-01-02-01-01.wav,angry,neutral,0.13514211773872375
Actor_01,03-01-03-01-01-01-01.wav,happy,sad,0.1332690268754959
Actor_01,03-01-03-01-02-01-01.wav,happy,sad,0.13292807340621948
Actor_01,03-01-04-01-02-01-01.wav,sad,disgust,0.1396777629852295
Actor_01,03-01-06-01-02-01-01.wav,fear,fearful,0.13630536198616028
Actor_01,03-01-06-02-02-01-01.wav,fear,fearful,0.1385858654975891
Actor_01,03-01-07-01-01-02-01.wav,disgust,sad,0.14907503128051758
Actor_01,03-01-05-02-01-02-01.wav,angry,happy,0.13539883494377136
Actor_01,03-01-06-01-01-01-01.wav,fear,fearful,0.14048358798027039
Actor_01,03-01-07-02-02-01-01.wav,disgust,sad,0.1486682891845703
Actor_01,03-01-01-01-02-02-01.wav,neutral,disgust,0.13893063366413116
Actor_01,03-01-06-01-02-02-01.wav,fear,fearful,0.14126917719841003
Actor_01,03-01-04-02-02-02-01.wav,sad,fearful,0.1405055671930313
Actor_01,03-01-02-02-02-02-01.wav,calm,disgust,0.14333240687847137
Actor_01,03-01-08-01-02-02-01.wav,surprise,neutral,0.13713394105434418
Actor_01,03-01-05-02-02-01-01.wav,angry,happy,0.13534006476402283
Actor_01,03-01-02-02-01-02-01.wav,calm,disgust,0.14436188340187073
Actor_01,03-01-08-01-01-02-01.wav,surprise,happy,0.1367146074771881
Actor_01,03-01-02-01-02-02-01.wav,calm,disgust,0.14462457597255707
Actor_01,03-01-01-01-01-01-01.wav,neutral,calm,0.1360868364572525
Actor_01,03-01-03-02-02-01-01.wav,happy,sad,0.13671517372131348
Actor_01,03-01-03-02-01-02-01.wav,happy,sad,0.13299591839313507
Actor_01,03-01-05-01-02-02-01.wav,angry,neutral,0.1332089602947235
Actor_01,03-01-06-02-01-01-01.wav,fear,fearful,0.13842713832855225
Actor_01,03-01-02-01-01-02-01.wav,calm,disgust,0.14531026780605316
Actor_01,03-01-05-02-01-01-01.wav,angry,sad,0.13481545448303223
Actor_01,03-01-07-02-02-02-01.wav,disgust,sad,0.1469419300556183
Actor_01,03-01-08-02-01-01-01.wav,surprise,neutral,0.13935056328773499
Actor_01,03-01-04-01-01-01-01.wav,sad,surprised,0.13720814883708954
Actor_01,03-01-08-01-01-01-01.wav,surprise,neutral,0.13534557819366455
Actor_01,03-01-07-01-02-01-01.wav,disgust,sad,0.1472250372171402
Actor_01,03-01-02-02-02-01-01.wav,calm,disgust,0.1439661830663681
Actor_01,03-01-06-02-02-02-01.wav,fear,fearful,0.1392301619052887
Actor_01,03-01-01-01-01-02-01.wav,neutral,calm,0.1363469809293747
Actor_01,03-01-07-02-01-01-01.wav,disgust,sad,0.14824482798576355
Actor_01,03-01-04-01-02-02-01.wav,sad,surprised,0.1358160525560379
Actor_01,03-01-05-01-01-01-01.wav,angry,happy,0.13423758745193481
Actor_01,03-01-08-02-02-01-01.wav,surprise,happy,0.13795478641986847
Actor_01,03-01-07-01-01-01-01.wav,disgust,sad,0.1479329615831375
Actor_01,03-01-03-02-01-01-01.wav,happy,neutral,0.13894493877887726
Actor_01,03-01-04-01-01-02-01.wav,sad,sad,0.14085465669631958
Actor_01,03-01-04-02-02-01-01.wav,sad,sad,0.1366729587316513
Actor_01,03-01-03-01-02-02-01.wav,happy,fearful,0.13285627961158752
Actor_01,03-01-07-02-01-02-01.wav,disgust,sad,0.1512286216020584
Actor_01,03-01-04-02-01-02-01.wav,sad,angry,0.13783299922943115
Actor_01,03-01-02-01-02-01-01.wav,calm,disgust,0.14452621340751648
Actor_01,03-01-03-02-02-02-01.wav,happy,sad,0.13706834614276886
Actor_01,03-01-07-01-02-02-01.wav,disgust,sad,0.14759504795074463
Actor_01,03-01-02-01-01-01-01.wav,calm,disgust,0.14453771710395813
Actor_01,03-01-05-02-02-02-01.wav,angry,happy,0.1346132755279541
Actor_01,03-01-08-02-01-02-01.wav,surprise,neutral,0.14029522240161896
Actor_01,03-01-02-02-01-01-01.wav,calm,disgust,0.1443541944026947
Actor_01,03-01-06-01-01-02-01.wav,fear,fearful,0.1382700502872467
Actor_01,03-01-05-01-01-02-01.wav,angry,neutral,0.13484367728233337
Actor_02,03-01-01-01-02-01-02.wav,neutral,calm,0.13678105175495148
Actor_02,03-01-02-02-02-01-02.wav,calm,disgust,0.14467324316501617
Actor_02,03-01-07-01-01-02-02.wav,disgust,sad,0.1474473625421524
Actor_02,03-01-03-02-02-01-02.wav,happy,fearful,0.13401742279529572
Actor_02,03-01-02-01-02-02-02.wav,calm,disgust,0.14454081654548645
Actor_02,03-01-08-02-01-02-02.wav,surprise,happy,0.13701802492141724
Actor_02,03-01-04-02-01-01-02.wav,sad,angry,0.13601751625537872
Actor_02,03-01-08-01-02-02-02.wav,surprise,happy,0.1363828182220459
Actor_02,03-01-02-01-02-01-02.wav,calm,disgust,0.14455477893352509
Actor_02,03-01-04-01-02-02-02.wav,sad,disgust,0.14352229237556458
